state_code,cve_ent,estado,categoria,variable,valor,anio,fuente,unidad
JAL,14,Jalisco,infraestructura_digital,personas_compras_internet_pct,34.94,2024,INEGI ENDUTIH 2024,%
MEX,15,Mexico,infraestructura_digital,personas_compras_internet_pct,25.91,2024,INEGI ENDUTIH 2024,%
MIC,16,Michoacan,infraestructura_digital,personas_compras_internet_pct,29.44,2024,INEGI ENDUTIH 2024,%
MOR,17,Morelos,infraestructura_digital,personas_compras_internet_pct,27.07,2024,INEGI ENDUTIH 2024,%
NAY,18,Nayarit,infraestructura_digital,personas_compras_internet_pct,29.8,2024,INEGI ENDUTIH 2024,%
NLE,19,Nuevo Leon,infraestructura_digital,personas_compras_internet_pct,34.84,2024,INEGI ENDUTIH 2024,%
OAX,20,Oaxaca,infraestructura_digital,personas_compras_internet_pct,17.95,2024,INEGI ENDUTIH 2024,%
PUE,21,Puebla,infraestructura_digital,personas_compras_internet_pct,23.69,2024,INEGI ENDUTIH 2024,%
QUE,22,Queretaro,infraestructura_digital,personas_compras_internet_pct,33.84,2024,INEGI ENDUTIH 2024,%
ROO,23,Quintana Roo,infraestructura_digital,personas_compras_internet_pct,34.42,2024,INEGI ENDUTIH 2024,%
SLP,24,San Luis Potosi,infraestructura_digital,personas_compras_internet_pct,28.58,2024,INEGI ENDUTIH 2024,%
SIN,25,Sinaloa,infraestructura_digital,personas_compras_internet_pct,36.83,2024,INEGI ENDUTIH 2024,%
SON,26,Sonora,infraestructura_digital,personas_compras_internet_pct,39.43,2024,INEGI ENDUTIH 2024,%
TAB,27,Tabasco,infraestructura_digital,personas_compras_internet_pct,29.09,2024,INEGI ENDUTIH 2024,%
TAM,28,Tamaulipas,infraestructura_digital,personas_compras_internet_pct,36.26,2024,INEGI ENDUTIH 2024,%
TLA,29,Tlaxcala,infraestructura_digital,personas_compras_internet_pct,23.44,2024,INEGI ENDUTIH 2024,%
VER,30,Veracruz,infraestructura_digital,personas_compras_internet_pct,22.67,2024,INEGI ENDUTIH 2024,%
YUC,31,Yucatan,infraestructura_digital,personas_compras_internet_pct,38.17,2024,INEGI ENDUTIH 2024,%
ZAC,32,Zacatecas,infraestructura_digital,personas_compras_internet_pct,27.3,2024,INEGI ENDUTIH 2024,%
AGS,01,Aguascalientes,infraestructura_digital,personas_pagos_internet_pct,33.99,2024,INEGI ENDUTIH 2024,%
BCN,02,Baja California,infraestructura_digital,personas_pagos_internet_pct,33.78,2024,INEGI ENDUTIH 2024,%
BCS,03,Baja California Sur,infraestructura_digital,personas_pagos_internet_pct,36.38,2024,INEGI ENDUTIH 2024,%
CAM,04,Campeche,infraestructura_digital,personas_pagos_internet_pct,24.7,2024,INEGI ENDUTIH 2024,%
COA,05,Coahuila,infraestructura_digital,personas_pagos_internet_pct,32.17,2024,INEGI ENDUTIH 2024,%
COL,06,Colima,infraestructura_digital,personas_pagos_internet_pct,33.21,2024,INEGI ENDUTIH 2024,%
CHP,07,Chiapas,infraestructura_digital,personas_pagos_internet_pct,13.64,2024,INEGI ENDUTIH 2024,%
CHH,08,Chihuahua,infraestructura_digital,personas_pagos_internet_pct,35.54,2024,INEGI ENDUTIH 2024,%
CMX,09,Ciudad de Mexico,infraestructura_digital,personas_pagos_internet_pct,39.68,2024,INEGI ENDUTIH 2024,%
DUR,10,Durango,infraestructura_digital,personas_pagos_internet_pct,26.47,2024,INEGI ENDUTIH 2024,%
GUA,11,Guanajuato,infraestructura_digital,personas_pagos_internet_pct,19.99,2024,INEGI ENDUTIH 2024,%
GRO,12,Guerrero,infraestructura_digital,personas_pagos_internet_pct,18.07,2024,INEGI ENDUTIH 2024,%
HID,13,Hidalgo,infraestructura_digital,personas_pagos_internet_pct,27.25,2024,INEGI ENDUTIH 2024,%
JAL,14,Jalisco,infraestructura_digital,personas_pagos_internet_pct,31.9,2024,INEGI ENDUTIH 2024,%
MEX,15,Mexico,infraestructura_digital,personas_pagos_internet_pct,25.52,2024,INEGI ENDUTIH 2024,%
MIC,16,Michoacan,infraestructura_digital,personas_pagos_internet_pct,24.8,2024,INEGI ENDUTIH 2024,%
