state_code,cve_ent,estado,region,pobreza_pct,pobreza_extrema_pct,vulnerable_carencias_pct,no_pobre_no_vulnerable_pct,rezago_educativo_pct,carencia_salud_pct,carencia_servicios_basicos_pct,ingreso_inferior_lp_pct,pib_total,pib_per_capita,poblacion_total,poblacion_edad_laboral_pct,poblacion_economicamente_activa_pct,poblacion_afiliada_imss_pct,personas_usuarias_computadora_pct,personas_usuarias_internet_pct,personas_conexion_internet_movil_pct,personas_usan_redes_sociales_pct,personas_compras_internet_pct,personas_pagos_internet_pct,personas_banca_electronica_pct,personas_con_celular_pct,personas_usuarias_celular_pct,personas_con_smartphone_pct,personas_conexion_datos_celular_pct,personas_usan_apps_redes_sociales_pct,personas_usan_banca_movil_pct,teledensidad_internet_movil,localidades_con_cobertura_movil_pct,poblacion_en_localidades_con_cobertura_movil_pct,localidades_con_4g_garantizada_pct,poblacion_en_localidades_con_4g_garantizada_pct,localidades_con_5g_garantizada_pct,poblacion_en_localidades_con_5g_garantizada_pct,hogares_en_localidades_con_internet_pct,poblacion_en_localidades_con_internet_pct,hogares_con_internet_pct,uso_internet_educacion_pct,uso_internet_gobierno_pct,escolaridad_promedio_anios,analfabetismo_15ymas_pct,sin_escolaridad_15ymas_pct,posbasica_18ymas_pct,pob_0_14_pct,pob_15_64_pct,pob_65_mas_pct,localidades_total,irs_indice,viv_sin_agua_pct,viv_sin_drenaje_pct,viv_sin_luz_pct,sin_derechohabiencia_pct,ookla_velocidad_avg_mbps,ookla_cobertura_4g_pct,brecha_4g_pp
PUE,21,Puebla,Centro,54.0173,11.4016,25.0899,14.158,21.8983,48.2832,27.0781,60.7521,882359.631,134.0304,6583278.0,65.0261,48.5794,21.9561,31.54,78.0,43.36,71.45,23.69,21.83,12.73,80.02,85.49,80.07,62.35,58.66,18.39,93.0,95.4747,96.9543,91.9078,95.0895,6.6039,8.4991,79.42,78.36,61.8,79.9,32.1,7.4354,12.1142,10.8407,26.1985,28.9284,61.1649,9.8665,6568.0,0.1937,6.49,8.5633,1.3865,23.6873,43.0635,37.4887,3.1816
QUE,22,Queretaro,Bajio,21.6907,1.7179,36.3613,34.4141,17.61,30.4315,7.8119,29.2247,621620.129,262.4567,2368467.0,68.3432,52.0624,47.3413,42.3,85.0,41.7,74.18,33.84,33.21,18.29,84.76,86.68,83.86,66.58,60.52,30.02,103.0,94.6853,95.8006,87.8715,91.2678,5.5282,17.1574,84.62,82.86,79.5,82.0,36.9,8.6056,7.3537,8.4855,32.4254,28.3641,63.8134,7.7162,2192.0,-0.4045,6.1262,7.2008,1.6612,18.9142,44.7546,29.6496,3.3963
ROO,23,Quintana Roo,Sureste,26.966,4.1515,35.6751,31.3688,16.5229,32.3707,22.4838,32.9561,383116.448,206.2,1857985.0,69.8516,54.1887,44.5387,42.41,90.69,54.43,81.97,34.42,28.62,13.06,89.17,92.47,91.05,74.87,66.75,35.13,111.0,77.2545,93.015,63.6094,91.4967,1.9979,33.2836,94.2,93.17,82.3,81.4,37.6,9.3609,5.5428,6.0812,41.4323,26.9544,67.1888,5.3756,2207.0,-0.5875,2.4846,5.6321,2.0385,25.1687,56.167,38.3817,27.8873
SIN,25,Sinaloa,Noroeste,21.6388,1.808,35.5263,36.1653,17.0028,26.5751,9.6807,28.3084,514385.484,169.9356,3026943.0,66.335,48.752,50.1144,39.97,87.83,59.04,81.72,36.83,32.1,17.21,89.27,90.68,86.83,70.22,72.54,32.22,109.0,88.3946,93.7464,78.8271,90.708,1.145,14.7424,86.29,84.89,78.9,81.4,29.2,8.9117,6.0485,6.272,39.9074,26.1141,63.2702,10.5881,5495.0,-0.5929,2.9299,6.4934,1.2189,16.0091,43.6173,36.4053,11.8809
SLP,24,San Luis Potosi,Centro,35.5228,7.4127,28.4539,29.2958,20.5577,34.5504,23.9259,42.2503,579636.262,205.3805,2822255.0,65.1929,48.2546,39.5595,32.95,79.65,57.48,72.59,28.58,25.53,7.53,81.7,86.14,81.22,65.83,65.44,23.48,103.0,86.6433,92.4894,75.8522,86.2761,2.0088,8.9967,73.6,72.0,65.5,79.3,34.3,7.9019,8.6723,8.7196,25.9065,27.5199,61.1149,11.3246,6554.0,-0.0083,14.3788,18.8173,2.6875,16.4391,29.7025,54.318,10.4239
SON,26,Sonora,Noroeste,21.6931,1.7072,32.6904,39.4633,14.5653,24.4289,9.1916,27.8463,822556.904,279.3214,2944840.0,67.2861,49.1921,53.635,42.41,91.34,67.11,86.45,39.43,36.66,8.45,92.24,93.08,90.48,81.24,77.88,39.98,128.0,83.6853,95.3087,73.3369,92.7409,0.4246,8.3949,93.84,92.87,84.4,83.6,35.1,8.7261,3.1926,3.3976,32.335,24.2757,62.8552,12.8062,7300.0,-0.7937,1.5047,5.2423,1.9078,22.0881,49.0547,52.1969,19.404
TAB,27,Tabasco,Sureste,46.4741,11.1566,33.6348,16.3124,17.9338,44.8,43.9413,50.0527,605206.515,251.8967,2402598.0,65.5728,48.8019,20.7602,33.94,83.52,54.0,77.1,29.09,28.3,13.68,80.99,88.35,84.93,64.65,63.83,35.0,106.0,93.7854,96.5428,86.5332,92.7577,1.7842,6.5703,64.99,63.3,71.7,84.0,39.9,9.2071,6.0257,5.5926,40.9502,27.8156,64.6978,7.4588,2472.0,-0.674,7.0327,3.3014,0.9454,29.9842,50.7275,34.1982,6.2245
TAM,28,Tamaulipas,Noreste,26.8227,2.8598,27.7527,34.7248,16.0956,27.9477,6.8114,37.5226,764735.773,216.7781,3527735.0,67.018,49.2434,47.3466,37.84,87.74,42.64,82.0,36.26,32.08,25.01,88.11,90.44,87.47,73.69,69.58,31.0,112.0,93.4427,95.0409,83.688,91.341,6.5236,21.1903,93.65,93.45,74.9,82.0,32.8,8.4167,5.4004,5.7371,31.0222,24.9394,62.7332,12.2311,6566.0,-0.4536,7.7998,22.4914,2.1625,14.9782,47.2935,39.6838,7.653
TLA,29,Tlaxcala,Centro,52.52,6.7536,20.9559,16.0953,16.1424,45.2309,8.0608,62.9488,151512.669,112.8185,1342977.0,65.1355,47.5326,24.0502,38.25,82.23,55.56,75.8,23.44,20.36,14.08,81.02,86.8,83.44,67.46,66.83,21.3,112.0,99.9534,99.9798,98.3289,99.8661,21.1385,31.0123,92.95,92.81,61.5,85.8,35.5,9.5418,3.5613,3.6831,40.2418,26.2151,64.3353,7.7013,1175.0,-0.6881,0.9673,2.2455,0.6051,24.4809,47.5391,34.7065,1.5372
VER,30,Veracruz,Oriente,51.7324,13.1412,26.7388,15.578,25.4997,49.2191,37.3542,57.6832,1094822.174,135.7906,8062579.0,65.589,47.7666,28.1172,26.79,77.17,48.39,69.28,22.67,19.93,12.13,79.18,84.35,81.08,56.02,56.9,21.63,89.0,95.4905,96.7871,90.8115,93.9851,7.5151,11.7673,71.34,69.26,64.0,76.3,31.9,7.5171,12.516,11.8536,28.9574,26.2079,63.6499,10.1211,19845.0,0.2129,10.7326,14.792,1.8924,25.7377,37.4199,42.2031,3.1736
YUC,31,Yucatan,Sureste,38.7726,5.604,30.2348,24.0506,21.2201,35.1273,34.7609,45.7145,402785.746,173.5474,2320898.0,67.3694,49.9929,42.2462,38.24,85.96,55.41,78.38,38.17,32.26,18.75,82.82,87.91,85.71,68.96,69.54,33.54,104.0,93.3715,98.8393,90.3597,98.5891,0.2929,1.8318,88.41,87.29,73.9,84.2,37.2,7.6934,10.5564,9.3204,26.3455,25.9297,64.4943,9.4909,2434.0,-0.0843,1.6595,16.2268,1.5945,18.3592,50.1136,42.4579,8.2294
ZAC,32,Zacatecas,Centro-Norte,44.2159,5.1253,26.4272,20.5336,20.7249,36.721,7.3511,53.0392,240511.776,148.2684,1622138.0,62.8637,43.2165,32.455,32.55,85.05,55.99,77.5,27.3,23.6,7.17,81.25,84.83,81.86,62.63,67.62,21.98,97.0,85.8388,92.4212,78.3177,89.4486,0.9951,4.156,78.56,77.9,78.2,81.9,24.2,8.2783,5.0862,5.5518,27.6787,28.1384,60.3938,11.3967,4498.0,-0.7936,2.0743,4.4743,0.9318,21.0743,36.1713,42.9484,11.1309
